Date,V,O,H,L,C,KD-FK,KD-K,KD-D,MACD-DIF,MACD-DEF,MACD-Bar,SMA-10,SMA-20,SMA-60,VWMA-10,VWMA-20,VWMA-60,STD-10,STD-20,STD-60,VIX-10,VIX-20,VIX-60,CVOL-7,CVOL-14,CVOL-28,R-V,R-O,R-H,R-L,R-C,R-KD-FK,R-KD-K,R-KD-D,R-MACD-DIF,R-MACD-DEF,R-MACD-Bar,R-SMA-10,R-SMA-20,R-SMA-60,R-VWMA-10,R-VWMA-20,R-VWMA-60,R-STD-10,R-STD-20,R-STD-60,R-VIX-10,R-VIX-20,R-VIX-60,R-CVOL-7,R-CVOL-14,R-CVOL-28
2016-04-15,6241232,16.95,17.0,16.7,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-18,4052482,16.6,16.7,16.4,16.45,,,,,,,,,,,,,,,,,,,,,,64.9308,-1.1905,-0.5952,-2.3809,-2.0833,,,,,,,,,,,,,,,,,,,,,
2016-04-19,6690067,16.6,16.85,16.4,16.4,,,,,,,,,,,,,,,,,,,,,,165.0857,0.9118,2.4316,-0.304,-0.304,,,,,,,,,,,,,,,,,,,,,
2016-04-20,6325336,16.4,16.65,16.35,16.45,,,,,,,,,,,,,,,,,,,,,,94.5482,0.0,1.5244,-0.3049,0.3049,,,,,,,,,,,,,,,,,,,,,
2016-04-21,3671426,16.45,16.65,16.35,16.5,,,,,,,,,,,,,,,,,,,,,,58.0432,0.0,1.2158,-0.6079,0.3039,,,,,,,,,,,,,,,,,,,,,
2016-04-22,6973657,16.6,16.85,16.3,16.35,,,,,,,,,,,,,,,,,,,,,,189.9441,0.6061,2.1212,-1.2121,-0.9091,,,,,,,,,,,,,,,,,,,,,
2016-04-25,3626599,16.35,16.75,16.3,16.65,,,,,,,,,,,,,,,,,,,,,,52.0043,0.0,2.4465,-0.3058,1.8349,,,,,,,,,,,,,,,,,,,,,
2016-04-26,3066390,16.75,16.75,16.4,16.45,,,,,,,,,,,,,,,,,,,,,,84.5528,0.6006,0.6006,-1.5015,-1.2012,,,,,,,,,,,,,,,,,,,,,
2016-04-27,5525017,16.45,16.5,16.0,16.1,10.0,36.6667,45.5556,,,,,,,,,,,,,,,,,,,180.1799,0.0,0.3039,-2.7356,-2.1277,,,,,,,,,,,,,,,,,,,,,
2016-04-28,7363757,16.2,16.2,15.6,15.65,4.0,25.7778,38.963,,,,16.38,,,16.4103,,,0.3146,,,,,,,,,133.2803,0.6211,0.6211,-3.1056,-2.795,-60.0,-29.697,-14.4715,,,,,,,,,,,,,,,,,,
2016-04-29,9451387,15.4,15.45,14.8,15.0,9.7561,20.4372,32.7877,,,,16.2,,,16.1532,,,0.505,,,25.49,,,,,,128.3501,-1.5974,-1.278,-5.4313,-4.1534,143.9024,-20.7177,-15.849,,,,-1.0989,,,-1.5668,,,60.4918,,,,,,,,
2016-05-03,7055589,14.9,14.9,14.3,14.5,7.8431,16.2392,27.2715,,,,16.005,,,15.9558,,,0.7259,,,27.7951,,,,,,74.6514,-0.6667,-0.6667,-4.6667,-3.3333,-19.6078,-20.5411,-16.8239,,,,-1.2037,,,-1.2218,,,43.7477,,,9.0432,,,,,
2016-05-04,16946911,14.45,14.45,13.9,14.0,3.3898,11.9561,22.1664,,,,15.765,,,15.4857,,,0.9446,,,28.2803,,,,,,240.1913,-0.3448,-0.3448,-4.1379,-3.4483,-56.7797,-26.3752,-18.7197,,,,-1.4995,,,-2.9462,,,30.1285,,,1.7455,,,,,
2016-05-05,15847422,14.1,15.4,14.1,15.4,50.8475,24.9199,23.0842,,,,15.66,,,15.32,,,0.918,,,49.8479,,,91.3205,,,93.5122,0.7143,10.0,0.7143,10.0,1400.0,108.4286,4.1406,,,,-0.666,,,-1.07,,,-2.8183,,,76.2639,,,,,
2016-05-06,7915010,15.3,15.3,14.6,14.65,26.3158,25.3852,23.8512,,,,15.475,,,15.2159,,,0.9163,,,49.6953,,,93.3652,,,49.9451,-0.6494,-0.6494,-5.1948,-4.8701,-48.2456,1.8672,3.3226,,,,-1.1814,,,-0.68,,,-0.1831,,,-0.3062,,,2.239,,
2016-05-09,4110355,14.65,14.75,14.5,14.5,21.0526,23.941,23.8811,,,,15.29,,,15.066,,,0.9067,,,49.5203,,,48.96,,,51.9311,0.0,0.6826,-1.0239,-1.0239,-20.0,-5.6891,0.1255,,,,-1.1955,,,-0.9849,,,-1.046,,,-0.3522,,,-47.5607,,
2016-05-10,2785320,14.5,14.75,14.45,14.55,25.0,24.294,24.0188,,,,15.08,,,14.9728,,,0.7927,,,48.9094,,,16.1685,,,67.7635,0.0,1.7241,-0.3448,0.3448,18.75,1.4745,0.5763,,,,-1.3734,,,-0.6184,,,-12.5684,,,-1.2335,,,-66.9761,,
2016-05-11,3260710,14.65,14.85,14.4,14.4,21.7391,23.4424,23.8266,,,,14.875,,,14.8893,,,0.6516,,,48.9203,,,0.9748,,,117.0677,0.6873,2.0619,-1.0309,-1.0309,-13.0435,-3.5055,-0.7999,,,,-1.3594,,,-0.5583,,,-17.8045,,,0.0222,,,-93.9711,,
2016-05-12,4189262,14.3,14.75,14.3,14.4,32.2581,26.3809,24.6781,,,,14.705,,,14.7684,,,0.5008,,,48.9203,,,-6.4253,,,128.477,-0.6944,2.4306,-0.6944,0.0,48.3872,12.5353,3.5735,,,,-1.1429,,,-0.812,,,-23.1423,,,-0.0001,,,-759.1546,,
2016-05-13,4565501,14.6,14.9,14.5,14.75,56.6667,36.4762,28.6108,,,,14.615,15.4975,,14.6609,15.4316,,0.3779,0.9666,,50.1967,,,-11.8097,,,108.981,1.3889,3.4722,0.6944,2.4306,75.6667,38.2672,15.936,,,,-0.612,,,-0.7276,,,-24.5422,,,2.6092,,,83.7985,,
2016-05-16,6466903,14.95,15.4,14.85,15.25,90.0,54.3175,37.1797,,,,14.64,15.42,,14.6558,15.3459,,0.4128,0.9176,,48.2681,38.7387,,-32.3981,,,141.6472,1.3559,4.4068,0.678,3.3898,58.8235,48.9121,29.9499,,,,0.1711,-0.5001,,-0.0347,-0.5554,,9.2494,-5.0727,,-3.8419,,,174.3347,,
2016-05-17,10519310,15.1,15.75,15.1,15.5,84.8485,64.4945,46.2846,,,,14.74,15.3725,,14.7814,15.3179,,0.4892,0.8855,,44.7134,39.1521,,-26.2444,,,162.6638,-0.9836,3.2787,-0.9836,1.6393,-5.7239,18.7362,24.489,,,,0.6831,-0.308,,0.8569,-0.1821,,18.4978,-3.4982,,-7.3647,1.0671,,-18.994,,
2016-05-18,7025294,15.35,15.4,14.85,14.85,37.931,55.64,49.4031,,,,14.825,15.295,,14.9692,15.2376,,0.4145,0.8582,,44.4637,40.2879,,-11.04,,,66.7847,-0.9677,-0.6452,-4.1935,-4.1935,-55.2956,-13.729,6.7376,,,,0.5767,-0.5041,,1.2704,-0.524,,-15.2739,-3.0777,,-0.5584,2.9011,,-57.9339,,
2016-05-19,6468744,14.9,14.95,14.5,14.5,13.7931,41.691,46.8324,,,,14.735,15.1975,,14.9001,15.1467,,0.3712,0.8304,,31.6323,40.8898,,-2.3344,,,92.0779,0.3367,0.6734,-2.3569,-2.3569,-63.6364,-25.07,-5.2035,,,,-0.6071,-0.6375,,-0.4618,-0.5968,,-10.4399,-3.2399,,-28.858,1.4939,,-78.8549,,
2016-05-20,3253639,14.5,14.65,14.2,14.5,19.3548,34.2456,42.6368,,,,14.72,15.0975,,14.8887,15.0911,,0.378,0.7845,,30.8271,40.8205,,-1.8163,,,50.2978,0.0,1.0345,-2.069,0.0,40.3226,-17.8585,-8.9587,,,,-0.1018,-0.658,,-0.076,-0.3669,,1.8277,-5.5338,,-2.5455,-0.1694,,-22.1936,,
2016-05-23,5265002,14.55,15.35,14.55,14.95,48.3871,38.9595,41.411,-0.4589,,,14.765,15.0275,,14.9191,15.0076,,0.3757,0.7272,,34.1966,43.0761,,16.3585,,,161.8189,0.3448,5.8621,0.3448,3.1034,150.0,13.7647,-2.8749,,,,0.3057,-0.4637,,0.2039,-0.5534,,-0.6143,-7.301,,10.9302,5.5255,,-1000.6367,,
2016-05-24,3249907,15.0,15.15,14.8,15.1,58.0645,45.3278,42.7166,-0.4095,,,14.82,14.95,,14.9435,14.961,,0.3809,0.6198,,34.2149,43.0174,,10.212,,,61.7266,0.3344,1.3378,-1.0033,1.0033,20.0,16.3461,3.1528,-10.7717,,,0.3725,-0.5157,,0.1634,-0.3107,,1.3974,-14.7616,,0.0535,-0.1361,,-37.574,,
2016-05-25,14644880,15.45,16.1,15.25,15.8,84.2105,58.2887,47.9073,-0.3103,,,14.96,14.9175,,15.1482,15.0069,,0.4587,0.5502,,39.6067,46.4283,,22.6619,7.4012,,450.6246,2.3179,6.6225,0.9934,4.6358,45.0292,28.5937,12.1515,-24.234,,,0.9447,-0.2174,,1.3699,0.3069,,20.4255,-11.2386,,15.7587,7.9292,,121.9146,,
