iteration,avg_price,cash_and_stock,cash,stock_value,action,position
0,0.0,1000000.0,1000000.0,0.0,0,0
1,18.1966,1000000.0,1000000.0,0.0,0,0
2,18.2966,1000000.0,1000000.0,0.0,0,0
3,18.5843,1000000.0,1000000.0,0.0,0,0
4,19.2971,1000000.0,1000000.0,0.0,0,0
5,19.022,1000000.0,1000000.0,0.0,0,0
6,18.6468,1000000.0,1000000.0,0.0,0,0
7,18.7219,1000000.0,1000000.0,0.0,0,0
8,18.3842,1000000.0,1000000.0,0.0,0,0
9,18.3342,1000000.0,1000000.0,0.0,0,0
10,18.2841,1000000.0,1000000.0,0.0,0,0
11,18.6968,1000000.0,1000000.0,0.0,0,0
12,18.8219,1000000.0,1000000.0,0.0,0,0
13,19.1721,1000000.0,1000000.0,0.0,0,0
14,19.3096,1000000.0,1000000.0,0.0,0,0
15,19.2596,1000000.0,1000000.0,0.0,0,0
16,19.6473,1000000.0,1000000.0,0.0,0,0
17,20.11,1000000.0,1000000.0,0.0,0,0
18,19.7599,1000000.0,1000000.0,0.0,0,0
19,20.2226,1000000.0,1000000.0,0.0,0,0
20,20.4477,1000000.0,1000000.0,0.0,0,0
21,20.9855,1000000.0,1000000.0,0.0,0,0
22,22.4112,999249.88,499256.01,499993.87,1,1
23,23.3867,1021013.01,499256.01,521757.0,1,1
24,23.6243,1026314.28,499256.01,527058.27,1,1
25,23.7744,1029662.46,499256.01,530406.45,1,1
26,23.1866,1016548.78,499256.01,517292.77,0,1
27,23.4117,1021571.04,499256.01,522315.03,0,1
28,23.8494,1031336.54,499256.01,532080.53,0,1
29,23.4742,1022966.11,499256.01,523710.1,0,1
30,22.949,1011247.51,499256.01,511991.49,0,1
31,23.2491,1017943.85,499256.01,518687.84,0,1
32,23.4867,1023245.13,499256.01,523989.11,0,1
33,23.8244,1030778.52,499256.01,531522.5,0,1
34,23.3367,1019896.95,499256.01,520640.94,0,1
35,22.7864,1007620.32,499256.01,508364.31,0,1
36,22.7739,1007341.3,499256.01,508085.29,0,1
37,22.7614,1007062.29,499256.01,507806.28,0,1
38,22.3862,998691.86,499256.01,499435.84,0,1
39,22.7239,1006225.25,499256.01,506969.23,0,1
40,23.1366,1015432.72,499256.01,516176.71,0,1
41,23.2866,1018780.89,499256.01,519524.88,0,1
42,23.1866,1016548.78,499256.01,517292.77,0,1
43,23.3492,1020175.97,499256.01,520919.95,0,1
44,24.2371,1039985.99,499256.01,540729.98,0,1
45,23.9745,1034126.69,499256.01,534870.68,0,1
46,24.1996,1039148.95,499256.01,539892.94,0,1
47,24.9625,1056168.83,499256.01,556912.82,0,1
48,25.075,1058679.96,499256.01,559423.95,0,1
49,25.0875,1058958.97,499256.01,559702.96,0,1
50,24.7499,1051425.58,499256.01,552169.57,0,1
51,24.4997,1045845.3,499256.01,546589.28,0,1
52,23.5243,1024082.17,499256.01,524826.16,0,1
53,24.1996,1039148.95,499256.01,539892.94,0,1
54,24.3747,1043055.15,499256.01,543799.14,0,1
55,24.6748,1049751.5,499256.01,550495.49,0,1
56,26.6508,1093835.78,499256.01,594579.77,1,1
57,26.7134,1095230.85,499256.01,595974.84,1,1
58,26.6758,1094393.81,499256.01,595137.8,1,1
59,26.9385,1100253.11,499256.01,600997.1,0,1
60,26.4507,1089371.55,499256.01,590115.54,0,1
61,26.3382,1086860.42,499256.01,587604.41,0,1
62,26.8259,1097741.98,499256.01,598485.97,0,1
63,27.8889,1121458.21,499256.01,622202.2,1,1
64,27.964,1123132.29,499256.01,623876.28,1,1
65,27.4512,1111692.7,499256.01,612436.69,1,1
66,26.7008,1094951.84,499256.01,595695.82,0,1
67,26.6258,1093277.75,499256.01,594021.74,0,1
68,25.2501,1062586.16,499256.01,563330.15,0,1
69,25.0,1057005.87,499256.01,557749.86,0,1
70,24.8874,1054494.74,499256.01,555238.73,0,1
71,24.9124,1055052.77,499256.01,555796.76,0,1
72,25.5503,1069282.51,499256.01,570026.5,0,1
73,24.8124,1052820.66,499256.01,553564.64,0,1
74,25.8504,1075978.85,499256.01,576722.84,0,1
75,24.4122,1043892.19,499256.01,544636.18,0,1
76,23.5743,1025198.23,499256.01,525942.21,0,1
77,23.6618,1027151.33,499256.01,527895.32,0,1
78,21.9235,988368.32,499256.01,489112.31,0,1
79,21.961,989205.36,499256.01,489949.35,0,1
80,22.4487,1000086.93,499256.01,500830.92,0,1
81,22.3111,997017.77,499256.01,497761.76,0,1
82,22.7989,1007899.33,499256.01,508643.32,0,1
83,22.5988,1003435.1,499256.01,504179.09,0,1
84,22.2986,996738.75,499256.01,497482.74,0,1
85,22.7239,1006225.25,499256.01,506969.23,0,1
86,22.7489,1006783.27,499256.01,507527.26,0,1
87,22.7489,1006783.27,499256.01,507527.26,0,1
88,22.6738,1005109.19,499256.01,505853.18,0,1
89,22.4612,1000365.94,499256.01,501109.93,0,1
90,22.1361,993111.57,499256.01,493855.55,0,1
91,22.5238,1001761.01,499256.01,502505.0,0,1
92,22.4112,999249.88,499256.01,499993.87,0,1
93,22.2861,996459.74,499256.01,497203.73,0,1
94,23.1491,1015711.74,499256.01,516455.72,0,1
95,23.1616,1015990.75,499256.01,516734.74,0,1
96,23.6368,1026593.3,499256.01,527337.29,0,1
97,23.4742,1022966.11,499256.01,523710.1,0,1
98,23.1116,1014874.69,499256.01,515618.68,0,1
99,22.9865,1012084.55,499256.01,512828.54,0,1
100,22.999,1012363.56,499256.01,513107.55,0,1
101,23.1741,1016269.76,499256.01,517013.75,0,1
102,22.7113,1005946.23,499256.01,506690.22,0,1
103,22.5738,1002877.07,499256.01,503621.06,0,1
104,22.2861,996459.74,499256.01,497203.73,0,1
105,22.1736,993948.61,499256.01,494692.6,0,1
106,22.6488,1004551.16,499256.01,505295.15,0,1
107,22.974,1011805.53,499256.01,512549.52,0,1
108,22.9365,1010968.49,499256.01,511712.48,0,1
109,22.8864,1009852.43,499256.01,510596.42,0,1
110,22.974,1011805.53,499256.01,512549.52,0,1
111,23.1991,1016827.79,499256.01,517571.78,0,1
112,23.049,1013479.62,499256.01,514223.61,0,1
113,23.1241,1015153.71,499256.01,515897.69,0,1
114,23.1616,1015990.75,499256.01,516734.74,0,1
115,23.1741,1016269.76,499256.01,517013.75,0,1
116,22.924,1010689.48,499256.01,511433.46,0,1
117,22.8489,1009015.39,499256.01,509759.38,0,1
118,22.7489,1006783.27,499256.01,507527.26,0,1
119,22.7864,1007620.32,499256.01,508364.31,0,1
120,22.924,1010689.48,499256.01,511433.46,0,1
121,24.6748,1049751.5,499256.01,550495.49,0,1
122,25.0625,1058400.95,499256.01,559144.93,0,1
123,25.2001,1061470.1,499256.01,562214.09,0,1
124,24.6623,1049472.48,499256.01,550216.47,0,1
125,25.1,1059237.99,499256.01,559981.98,0,1
126,24.9124,1055052.77,499256.01,555796.76,0,1
127,25.1876,1061191.09,499256.01,561935.08,0,1
128,25.2751,1063144.19,499256.01,563888.18,0,1
129,25.4002,1065934.33,499256.01,566678.32,0,1
130,24.9625,1056168.83,499256.01,556912.82,0,1
131,25.3126,1063981.23,499256.01,564725.22,0,1
132,25.2626,1062865.18,499256.01,563609.16,0,1
133,25.1501,1060354.05,499256.01,561098.03,0,1
134,24.4872,1045566.28,499256.01,546310.27,0,1
135,24.6998,1050309.53,499256.01,551053.51,0,1
136,25.1126,1059517.0,499256.01,560260.99,0,1
137,24.925,1055331.79,499256.01,556075.77,0,1
138,24.925,1055331.79,499256.01,556075.77,0,1
139,25.2251,1062028.13,499256.01,562772.12,0,1
140,25.1751,1060912.07,499256.01,561656.06,0,1
141,25.3877,1065655.32,499256.01,566399.31,0,1
142,25.2626,1062865.18,499256.01,563609.16,0,1
143,25.3377,1064539.26,499256.01,565283.25,0,1
144,24.8624,1053936.71,499256.01,554680.7,0,1
145,24.3372,1042218.11,499256.01,542962.1,0,1
146,24.2621,1040544.02,499256.01,541288.01,0,1
147,24.6498,1049193.47,499256.01,549937.46,0,1
148,24.3497,1042497.12,499256.01,543241.11,0,1
149,24.2746,1040823.04,499256.01,541567.02,0,1
150,23.5868,1025477.24,499256.01,526221.23,0,1
151,24.5498,1046961.35,499256.01,547705.34,0,1
152,24.7749,1051983.61,499256.01,552727.6,0,1
153,24.8374,1053378.69,499256.01,554122.67,0,1
154,24.8749,1054215.73,499256.01,554959.72,0,1
155,24.8999,1054773.76,499256.01,555517.75,0,1
156,25.1,1059237.99,499256.01,559981.98,0,1
157,24.8249,1053099.67,499256.01,553843.66,0,1
158,24.9875,1056726.86,499256.01,557470.85,0,1
159,26.3757,1087697.46,499256.01,588441.45,0,1
160,26.7634,1096346.91,499256.01,597090.9,0,1
161,25.9255,1077652.94,499256.01,578396.93,0,1
162,25.6628,1071793.64,499256.01,572537.63,0,1
163,25.7128,1072909.7,499256.01,573653.68,1,1
164,26.1881,1083512.24,499256.01,584256.23,1,1
165,26.2381,1084628.3,499256.01,585372.29,0,1
166,27.7639,1118668.06,499256.01,619412.05,1,1
167,28.0015,1123969.34,499256.01,624713.33,1,1
168,27.8764,1121179.19,499256.01,621923.18,1,1
169,29.1396,1149359.65,499256.01,650103.64,1,1
170,30.0275,1169169.68,499256.01,669913.66,1,1
171,30.4527,1178656.17,499256.01,679400.16,1,1
172,30.6653,1183399.41,499256.01,684143.4,1,1
173,29.7774,1163589.39,499256.01,664333.38,1,1
174,30.6903,1183957.44,499256.01,684701.43,1,1
175,30.7779,1185910.54,499256.01,686654.53,1,1
176,29.5273,1158009.1,499256.01,658753.09,1,1
177,29.8149,1164426.43,499256.01,665170.42,1,1
178,30.7779,1185910.54,499256.01,686654.53,1,1
179,30.1901,1172796.86,499256.01,673540.85,1,1
