iteration,avg_price,cash_and_stock,cash,stock_value,action,position
0,0.0,1000000.0,1000000.0,0.0,0,0
1,16.3332,1000000.0,1000000.0,0.0,0,0
2,16.4207,1000000.0,1000000.0,0.0,0,0
3,16.2956,1000000.0,1000000.0,0.0,0,0
4,16.5708,1000000.0,1000000.0,0.0,0,0
5,16.6083,1000000.0,1000000.0,0.0,0,0
6,16.6458,1000000.0,1000000.0,0.0,0,0
7,16.946,1000000.0,1000000.0,0.0,0,0
8,16.8209,1000000.0,1000000.0,0.0,0,0
9,16.6708,1000000.0,1000000.0,0.0,0,0
10,16.6958,1000000.0,1000000.0,0.0,0,0
11,16.5833,1000000.0,1000000.0,0.0,0,0
12,16.5833,1000000.0,1000000.0,0.0,0,0
13,16.6583,1000000.0,1000000.0,0.0,0,0
14,16.5458,1000000.0,1000000.0,0.0,0,0
15,16.6833,1000000.0,1000000.0,0.0,0,0
16,16.5708,1000000.0,1000000.0,0.0,0,0
17,16.4832,1000000.0,1000000.0,0.0,0,0
18,16.5458,1000000.0,1000000.0,0.0,0,0
19,16.3332,1000000.0,1000000.0,0.0,0,0
20,16.058,1000000.0,1000000.0,0.0,0,0
21,15.9955,1000000.0,1000000.0,0.0,0,0
22,15.7704,1000000.0,1000000.0,0.0,0,0
23,16.033,1000000.0,1000000.0,0.0,0,0
24,16.108,1000000.0,1000000.0,0.0,0,0
25,16.0955,1000000.0,1000000.0,0.0,0,0
26,16.2456,1000000.0,1000000.0,0.0,0,0
27,16.2081,1000000.0,1000000.0,0.0,0,0
28,16.1331,1000000.0,1000000.0,0.0,0,0
29,16.033,1000000.0,1000000.0,0.0,0,0
30,16.033,1000000.0,1000000.0,0.0,0,0
31,15.1826,1000000.0,1000000.0,0.0,0,0
32,14.9575,1000000.0,1000000.0,0.0,0,0
33,14.7949,1000000.0,1000000.0,0.0,0,0
34,15.1576,1000000.0,1000000.0,0.0,0,0
35,15.4952,1000000.0,1000000.0,0.0,0,0
36,16.1581,1000000.0,1000000.0,0.0,0,0
37,16.3457,1000000.0,1000000.0,0.0,0,0
38,16.3457,1000000.0,1000000.0,0.0,0,0
39,16.7083,1000000.0,1000000.0,0.0,0,0
40,16.8459,1000000.0,1000000.0,0.0,0,0
41,16.8834,1000000.0,1000000.0,0.0,0,0
42,16.5583,1000000.0,1000000.0,0.0,0,0
43,16.4332,1000000.0,1000000.0,0.0,0,0
44,16.2081,1000000.0,1000000.0,0.0,0,0
45,16.1331,1000000.0,1000000.0,0.0,0,0
46,16.3081,1000000.0,1000000.0,0.0,0,0
47,16.0955,1000000.0,1000000.0,0.0,0,0
48,15.8454,1000000.0,1000000.0,0.0,0,0
49,15.8829,1000000.0,1000000.0,0.0,0,0
50,15.6453,1000000.0,1000000.0,0.0,0,0
51,15.4077,1000000.0,1000000.0,0.0,0,0
52,15.2326,1000000.0,1000000.0,0.0,0,0
53,15.5328,1000000.0,1000000.0,0.0,0,0
54,15.7829,1000000.0,1000000.0,0.0,0,0
55,15.7954,1000000.0,1000000.0,0.0,0,0
56,15.4827,1000000.0,1000000.0,0.0,0,0
57,15.0575,1000000.0,1000000.0,0.0,0,0
58,14.995,1000000.0,1000000.0,0.0,0,0
59,14.8699,1000000.0,1000000.0,0.0,0,0
60,14.3072,1000000.0,1000000.0,0.0,0,0
61,14.0195,1000000.0,1000000.0,0.0,0,0
62,13.9195,1000000.0,1000000.0,0.0,0,0
63,13.7944,1000000.0,1000000.0,0.0,0,0
64,13.8444,1000000.0,1000000.0,0.0,0,0
65,13.5818,1000000.0,1000000.0,0.0,0,0
66,13.982,1000000.0,1000000.0,0.0,0,0
67,13.7194,1000000.0,1000000.0,0.0,0,0
68,13.9195,1000000.0,1000000.0,0.0,0,0
69,14.1321,1000000.0,1000000.0,0.0,0,0
70,14.0945,1000000.0,1000000.0,0.0,0,0
71,14.0695,1000000.0,1000000.0,0.0,0,0
72,13.9069,1000000.0,1000000.0,0.0,0,0
73,13.8319,1000000.0,1000000.0,0.0,0,0
74,13.7819,1000000.0,1000000.0,0.0,0,0
75,14.032,1000000.0,1000000.0,0.0,0,0
76,14.1446,1000000.0,1000000.0,0.0,0,0
77,14.2071,1000000.0,1000000.0,0.0,0,0
78,14.2321,1000000.0,1000000.0,0.0,0,0
79,14.2696,1000000.0,1000000.0,0.0,0,0
80,14.7824,1000000.0,1000000.0,0.0,0,0
81,15.0825,1000000.0,1000000.0,0.0,0,0
82,15.0825,1000000.0,1000000.0,0.0,0,0
83,14.9325,1000000.0,1000000.0,0.0,0,0
84,15.1451,1000000.0,1000000.0,0.0,0,0
85,15.1201,1000000.0,1000000.0,0.0,0,0
86,14.945,1000000.0,1000000.0,0.0,0,0
87,15.095,1000000.0,1000000.0,0.0,0,0
88,15.7579,1000000.0,1000000.0,0.0,0,0
89,15.9455,1000000.0,1000000.0,0.0,0,0
90,16.1331,1000000.0,1000000.0,0.0,0,0
91,15.095,1000000.0,1000000.0,0.0,0,0
92,15.3327,1000000.0,1000000.0,0.0,0,0
