Date,V,O,H,L,C,KD-FK,KD-K,KD-D,MACD-DIF,MACD-DEF,MACD-Bar,SMA-10,SMA-20,SMA-60,VWMA-10,VWMA-20,VWMA-60,STD-10,STD-20,STD-60,VIX-10,VIX-20,VIX-60,CVOL-7,CVOL-14,CVOL-28,R-V,R-O,R-H,R-L,R-C,R-KD-FK,R-KD-K,R-KD-D,R-MACD-DIF,R-MACD-DEF,R-MACD-Bar,R-SMA-10,R-SMA-20,R-SMA-60,R-VWMA-10,R-VWMA-20,R-VWMA-60,R-STD-10,R-STD-20,R-STD-60,R-VIX-10,R-VIX-20,R-VIX-60,R-CVOL-7,R-CVOL-14,R-CVOL-28
2019-09-02,14776854,258.0,258.0,256.0,257.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03,26086495,256.5,258.0,253.0,254.0,,,,,,,,,,,,,,,,,,,,,,176.5362,-0.3883,0.1942,-1.7476,-1.3592,,,,,,,,,,,,,,,,,,,,,
2019-09-04,23697733,254.0,258.0,254.0,257.5,,,,,,,,,,,,,,,,,,,,,,90.8429,0.0,1.5748,0.0,1.378,,,,,,,,,,,,,,,,,,,,,
2019-09-05,49041728,263.0,263.0,260.5,263.0,,,,,,,,,,,,,,,,,,,,,,206.9469,2.1359,2.1359,1.165,2.1359,,,,,,,,,,,,,,,,,,,,,
2019-09-06,26609515,265.0,265.0,263.0,263.5,,,,,,,,,,,,,,,,,,,,,,54.2589,0.7605,0.7605,0.0,0.1901,,,,,,,,,,,,,,,,,,,,,
2019-09-09,17317833,265.5,266.0,263.5,265.0,,,,,,,,,,,,,,,,,,,,,,65.0814,0.759,0.9488,0.0,0.5693,,,,,,,,,,,,,,,,,,,,,
2019-09-10,30019866,263.5,264.0,260.5,261.5,,,,,,,,,,,,,,,,,,,,,,173.3465,-0.566,-0.3774,-1.6981,-1.3208,,,,,,,,,,,,,,,,,,,,,
2019-09-11,36266015,264.0,264.5,260.5,263.0,,,,,,,,,,,,,,,,,,,,,,120.8067,0.956,1.1472,-0.3824,0.5736,,,,,,,,,,,,,,,,,,,,,
2019-09-12,38792293,265.0,265.0,261.5,262.5,73.0769,57.6923,52.5641,,,,,,,,,,,,,,,,,,,106.966,0.7605,0.7605,-0.5703,-0.1901,,,,,,,,,,,,,,,,,,,,,
2019-09-16,38913966,262.0,265.5,261.5,265.5,96.1538,70.5128,58.547,,,,261.3,,,261.6569,,,3.7357,,,,,,,,,100.3137,-0.1905,1.1429,-0.381,1.1429,31.5789,22.2222,11.3821,,,,,,,,,,,,,,,,,,
