iteration,avg_price,cash_and_stock,cash,stock_value,action,position
0,0.0,1000000.0,1000000.0,0.0,0,0
1,24.062,999249.9,499265.08,499984.82,1,1
2,23.9245,996391.36,499265.08,497126.28,1,1
3,24.6373,1011203.8,499265.08,511938.72,1,1
4,24.2121,1002368.31,499265.08,503103.23,1,1
5,23.937,996651.22,499265.08,497386.14,1,1
6,24.087,999769.63,499265.08,500504.55,1,1
7,24.8624,1015881.41,499265.08,516616.33,1,1
8,24.7249,1013022.87,499265.08,513757.79,1,1
9,24.7624,1013802.47,499265.08,514537.39,1,1
10,25.4377,1027835.31,499265.08,528570.23,1,1
11,24.9375,1017440.61,499265.08,518175.53,1,1
12,25.5378,1029914.25,499265.08,530649.17,1,1
13,25.3627,1026276.1,499265.08,527011.02,1,1
14,24.7374,1013282.74,499265.08,514017.66,1,1
15,24.2621,1003407.78,499265.08,504142.7,1,1
16,23.7744,993272.95,499265.08,494007.87,1,1
17,23.8244,994312.42,499265.08,495047.34,1,1
18,24.0745,999509.77,499265.08,500244.68,1,1
19,24.0495,998990.03,499265.08,499724.95,1,1
20,24.012,998210.43,499265.08,498945.35,1,1
21,24.2371,1002888.04,499265.08,503622.96,1,1
22,24.3997,1006266.32,499265.08,507001.24,1,1
23,26.038,1040308.94,499265.08,541043.86,1,1
24,27.2511,1065516.08,499265.08,566251.0,1,1
25,27.6638,1074091.7,499265.08,574826.62,1,1
26,27.1886,1064216.74,499265.08,564951.66,1,1
27,27.7889,1076690.37,499265.08,577425.29,1,1
28,27.6013,1072792.36,499265.08,573527.28,1,1
29,26.8134,1056420.72,499265.08,557155.64,1,1
30,25.7629,1034591.86,499265.08,535326.78,1,1
31,25.7504,1034331.99,499265.08,535066.91,1,1
32,26.6133,1052262.84,499265.08,552997.76,1,1
33,26.8134,1056420.72,499265.08,557155.64,1,1
34,28.3767,1088904.14,499265.08,589639.06,1,1
35,29.8899,1120348.09,499265.08,621083.01,1,1
36,30.09,1124505.97,499265.08,625240.89,1,1
37,29.1896,1105795.52,499265.08,606530.44,1,1
38,29.4897,1112032.34,499265.08,612767.26,1,1
39,30.2901,1128663.85,499265.08,629398.77,1,1
40,30.0775,1124246.1,499265.08,624981.02,1,1
41,30.115,1125025.7,499265.08,625760.62,1,1
42,29.9525,1121647.43,499265.08,622382.35,1,1
43,31.8034,1160107.8,499265.08,660842.72,1,1
44,33.5793,1197008.97,499265.08,697743.89,1,1
45,33.6918,1199347.77,499265.08,700082.69,1,1
46,34.1296,1208443.13,499265.08,709178.05,1,1
47,36.6308,1260416.6,499265.08,761151.52,1,1
48,37.0685,1269511.96,499265.08,770246.88,1,1
49,36.931,1266653.42,499265.08,767388.34,1,1
50,35.5428,1237808.14,499265.08,738543.06,1,1
51,35.7804,1242745.62,499265.08,743480.54,1,1
52,32.6038,1176739.31,499265.08,677474.23,1,1
53,32.6538,1177778.78,499265.08,678513.7,1,1
54,32.6538,1177778.78,499265.08,678513.7,1,1
55,31.0155,1143736.15,499265.08,644471.07,1,1
56,30.8404,1140098.01,499265.08,640832.93,1,1
57,31.2406,1148413.77,499265.08,649148.69,1,1
58,33.0165,1185314.93,499265.08,686049.85,1,1
59,33.2791,1190772.15,499265.08,691507.07,1,1
60,32.4037,1172581.43,499265.08,673316.35,1,1
61,31.8409,1160887.4,499265.08,661622.32,1,1
62,32.6538,1177778.78,499265.08,678513.7,1,1
63,32.6163,1176999.18,499265.08,677734.1,1,1
64,32.7289,1179337.98,499265.08,680072.9,1,1
65,33.054,1186094.54,499265.08,686829.46,1,1
66,32.116,1166604.48,499265.08,667339.4,1,1
67,32.016,1164525.54,499265.08,665260.46,1,1
68,30.8654,1140617.75,499265.08,641352.67,1,1
69,29.8024,1118529.02,499265.08,619263.94,1,1
70,29.4772,1111772.47,499265.08,612507.39,1,1
71,29.8399,1119308.62,499265.08,620043.54,1,1
72,29.1271,1104496.18,499265.08,605231.1,1,1
73,27.1511,1063437.14,499265.08,564172.06,1,1
74,28.1516,1084226.53,499265.08,584961.45,1,1
75,27.3387,1067335.15,499265.08,568070.07,1,1
76,26.8259,1056680.59,499265.08,557415.51,1,1
77,27.3512,1067595.02,499265.08,568329.94,1,1
78,28.1891,1085006.13,499265.08,585741.05,1,1
79,28.3392,1088124.54,499265.08,588859.46,1,1
80,29.3272,1108654.06,499265.08,609388.98,1,1
81,29.8524,1119568.49,499265.08,620303.41,1,1
82,30.1901,1126584.91,499265.08,627319.83,1,1
83,30.1901,1126584.91,499265.08,627319.83,1,1
84,30.6403,1135940.13,499265.08,636675.05,1,1
85,30.953,1142436.82,499265.08,643171.74,1,1
86,30.5528,1134121.06,499265.08,634855.98,1,1
87,29.965,1121907.3,499265.08,622642.22,1,1
88,29.6398,1115150.74,499265.08,615885.66,1,1
89,30.04,1123466.5,499265.08,624201.42,1,1
90,29.5398,1113071.81,499265.08,613806.72,1,1
91,29.027,1102417.24,499265.08,603152.16,1,1
92,29.4897,1112032.34,499265.08,612767.26,1,1
93,30.1776,1126325.04,499265.08,627059.96,1,1
94,30.2276,1127364.51,499265.08,628099.43,1,1
95,30.6653,1136459.87,499265.08,637194.79,1,1
96,29.915,1120867.83,499265.08,621602.75,1,1
97,29.7023,1116450.08,499265.08,617185.0,1,1
98,29.7399,1117229.68,499265.08,617964.6,1,1
99,29.5648,1113591.54,499265.08,614326.46,1,1
100,29.8274,1119048.75,499265.08,619783.67,1,1
101,30.953,1142436.82,499265.08,643171.74,1,1
102,31.9159,1162446.61,499265.08,663181.53,1,1
103,31.9785,1163745.94,499265.08,664480.86,1,1
104,31.8659,1161407.14,499265.08,662142.06,1,1
105,32.4537,1173620.9,499265.08,674355.82,1,1
106,32.8414,1181676.79,499265.08,682411.71,1,1
107,32.4662,1173880.77,499265.08,674615.69,1,1
108,32.7914,1180637.32,499265.08,681372.24,1,1
109,33.1291,1187653.74,499265.08,688388.66,1,1
110,32.6788,1178298.51,499265.08,679033.43,1,1
111,33.0915,1186874.14,499265.08,687609.06,1,1
112,33.079,1186614.27,499265.08,687349.19,1,1
113,35.7178,1241446.29,499265.08,742181.21,1,1
114,36.4682,1257038.33,499265.08,757773.25,1,1
115,35.7679,1242485.75,499265.08,743220.67,1,1
116,35.7804,1242745.62,499265.08,743480.54,1,1
117,36.981,1267692.89,499265.08,768427.81,1,1
118,36.8934,1265873.82,499265.08,766608.74,1,1
119,36.018,1247683.1,499265.08,748418.02,1,1
