Date,V,O,H,L,C,KD-FK,KD-K,KD-D,MACD-DIF,MACD-DEF,MACD-Bar,SMA-10,SMA-20,SMA-60,VWMA-10,VWMA-20,VWMA-60,STD-10,STD-20,STD-60,VIX-10,VIX-20,VIX-60,CVOL-7,CVOL-14,CVOL-28,R-V,R-O,R-H,R-L,R-C,R-KD-FK,R-KD-K,R-KD-D,R-MACD-DIF,R-MACD-DEF,R-MACD-Bar,R-SMA-10,R-SMA-20,R-SMA-60,R-VWMA-10,R-VWMA-20,R-VWMA-60,R-STD-10,R-STD-20,R-STD-60,R-VIX-10,R-VIX-20,R-VIX-60,R-CVOL-7,R-CVOL-14,R-CVOL-28
2016-04-15,392305,33.1,33.15,32.9,32.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-18,483393,32.95,32.95,32.2,32.5,,,,,,,,,,,,,,,,,,,,,,123.2187,0.0,0.0,-2.2762,-1.3657,,,,,,,,,,,,,,,,,,,,,
2016-04-19,311274,32.5,33.0,32.4,32.6,,,,,,,,,,,,,,,,,,,,,,64.3936,0.0,1.5385,-0.3077,0.3077,,,,,,,,,,,,,,,,,,,,,
2016-04-20,332649,32.8,33.0,32.1,32.1,,,,,,,,,,,,,,,,,,,,,,106.8669,0.6135,1.227,-1.5337,-1.5337,,,,,,,,,,,,,,,,,,,,,
2016-04-21,603713,32.3,32.3,31.6,31.7,,,,,,,,,,,,,,,,,,,,,,181.4865,0.6231,0.6231,-1.5576,-1.2461,,,,,,,,,,,,,,,,,,,,,
2016-04-22,1166078,31.65,31.65,29.75,29.85,,,,,,,,,,,,,,,,,,,,,,193.1511,-0.1577,-0.1577,-6.1514,-5.836,,,,,,,,,,,,,,,,,,,,,
2016-04-25,332063,30.0,30.7,29.8,30.6,,,,,,,,,,,,,,,,,,,,,,28.4769,0.5025,2.8476,-0.1675,2.5126,,,,,,,,,,,,,,,,,,,,,
2016-04-26,481009,30.9,31.9,30.6,31.1,,,,,,,,,,,,,,,,,,,,,,144.8547,0.9804,4.2484,0.0,1.634,,,,,,,,,,,,,,,,,,,,,
2016-04-27,348122,31.5,31.5,30.8,30.9,33.8235,44.6078,48.2026,,,,,,,,,,,,,,,,,,,72.3733,1.2862,1.2862,-0.9646,-0.6431,,,,,,,,,,,,,,,,,,,,,
2016-04-28,359865,30.9,31.45,30.55,31.35,49.2308,46.1488,47.518,,,,31.565,,,31.4644,,,0.9857,,,,,,,,,103.3732,0.0,1.7799,-1.1327,1.4563,45.5519,3.4545,-1.4203,,,,,,,,,,,,,,,,,,
2016-04-29,174540,31.05,31.25,30.7,30.7,29.2308,40.5095,45.1818,,,,31.34,,,31.3037,,,0.8863,,,29.9549,,,,,,48.5015,-0.9569,-0.319,-2.0734,-2.0734,-40.6249,-12.2199,-4.9164,,,,-0.7128,,,-0.5107,,,-10.0932,,,,,,,,
2016-05-03,180639,30.7,30.7,30.0,30.1,10.7692,30.5961,40.3199,,,,31.1,,,31.1141,,,0.8618,,,30.5042,,,,,,103.4943,0.0,0.0,-2.2801,-1.9544,-63.1579,-24.4718,-10.7608,,,,-0.7658,,,-0.6058,,,-2.754,,,1.8338,,,,,
2016-05-04,312990,30.1,30.45,29.6,29.6,0.0,20.3974,33.6791,,,,30.8,,,30.9047,,,0.8017,,,30.0367,,,,,,173.2682,0.0,1.1628,-1.6611,-1.6611,-100.0,-33.3333,-16.4704,,,,-0.9646,,,-0.6729,,,-6.9747,,,-1.5328,,,,,
